k141_548604	118510	species	Tanacetum cinerariifolium	2	2	1	0.500	Viridiplantae;Streptophyta;Asteraceae	-_cellular organisms;d_Eukaryota;k_Viridiplantae;p_Streptophyta;-_Streptophytina;-_Embryophyta;-_Tracheophyta;-_Euphyllophyta;-_Spermatophyta;c_Magnoliopsida;-_Mesangiospermae;-_eudicotyledons;-_Gunneridae;-_Pentapetalae;-_asterids;-_campanulids;o_Asterales;f_Asteraceae;-_Asteroideae;-_Anthemideae;-_Anthemidinae;g_Tanacetum;s_Tanacetum cinerariifolium
k141_548650	35832	genus	Bilophila	2	2	1	0.500	unknown;Proteobacteria;Desulfovibrionaceae	-_cellular organisms;d_Bacteria;p_Proteobacteria;-_delta/epsilon subdivisions;c_Deltaproteobacteria;o_Desulfovibrionales;f_Desulfovibrionaceae;g_Bilophila
k141_333203	1	no rank	root	1	1	1	1.000	unknown;unknown;unknown	-_root
k141_685842	1	no rank	root	1	1	1	1.000	unknown;unknown;unknown	-_root
k141_686299	1	no rank	root	2	1	1	1.000	unknown;unknown;unknown	-_root
k141_367395	0	no rank	unclassified	1	0	0	0.000		
k141_47423	1	no rank	root	3	2	2	1.000	unknown;unknown;unknown	-_root
k141_47531	194924	family	Desulfovibrionaceae	1	1	1	1.000	unknown;Proteobacteria;Desulfovibrionaceae	-_cellular organisms;d_Bacteria;p_Proteobacteria;-_delta/epsilon subdivisions;c_Deltaproteobacteria;o_Desulfovibrionales;f_Desulfovibrionaceae
k141_261724	2	superkingdom	Bacteria	3	3	2	0.670	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_369058	1	no rank	root	2	2	2	1.000	unknown;unknown;unknown	-_root
k141_706762	1	no rank	root	4	3	3	1.000	unknown;unknown;unknown	-_root
k141_707759	1	no rank	root	2	2	2	1.000	unknown;unknown;unknown	-_root
k141_604925	1	no rank	root	2	1	1	1.000	unknown;unknown;unknown	-_root
k141_605002	1	no rank	root	3	3	3	1.000	unknown;unknown;unknown	-_root
k141_388449	1	no rank	root	4	4	4	1.000	unknown;unknown;unknown	-_root
k141_388523	693988	species	Bilophila sp. 4_1_30	2	1	1	1.000	unknown;Proteobacteria;Desulfovibrionaceae	-_cellular organisms;d_Bacteria;p_Proteobacteria;-_delta/epsilon subdivisions;c_Deltaproteobacteria;o_Desulfovibrionales;f_Desulfovibrionaceae;g_Bilophila;-_unclassified Bilophila;s_Bilophila sp. 4_1_30
k141_389213	1	no rank	root	1	1	1	1.000	unknown;unknown;unknown	-_root
k141_70790	2	superkingdom	Bacteria	3	3	2	0.670	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_284879	1	no rank	root	2	2	2	1.000	unknown;unknown;unknown	-_root
k141_819009	35832	genus	Bilophila	2	2	2	1.000	unknown;Proteobacteria;Desulfovibrionaceae	-_cellular organisms;d_Bacteria;p_Proteobacteria;-_delta/epsilon subdivisions;c_Deltaproteobacteria;o_Desulfovibrionales;f_Desulfovibrionaceae;g_Bilophila
k141_233478	1239	phylum	Firmicutes	2	2	1	0.500	unknown;Firmicutes;uc_Firmicutes	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes
k141_450244	1	no rank	root	2	2	2	1.000	unknown;unknown;unknown	-_root
k141_126991	2	superkingdom	Bacteria	4	4	3	0.750	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_341397	1	no rank	root	3	3	3	1.000	unknown;unknown;unknown	-_root
k141_771697	213115	order	Desulfovibrionales	3	3	2	0.670	unknown;Proteobacteria;uc_Desulfovibrionales	-_cellular organisms;d_Bacteria;p_Proteobacteria;-_delta/epsilon subdivisions;c_Deltaproteobacteria;o_Desulfovibrionales
k141_236514	131567	no rank	cellular organisms	2	1	1	1.000	unknown;unknown;unknown	-_cellular organisms
k141_772659	2	superkingdom	Bacteria	3	3	2	0.520	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
